InvoiceID,InvoiceDate,CustomerName,Item,Quantity,UnitPrice,TotalAmount,GST,GrandTotal
INV001,2026-02-01,Customer1,Laptop,1,50000,50000,9000,59000
INV002,2026-02-02,Customer2,Mouse,2,500,1000,180,1180
INV003,2026-02-03,Customer3,Keyboard,1,1500,1500,270,1770
INV004,2026-02-04,Customer4,Monitor,2,12000,24000,4320,28320
INV005,2026-02-05,Customer5,Printer,1,8000,8000,1440,9440
INV006,2026-02-06,Customer6,Tablet,3,15000,45000,8100,53100
INV007,2026-02-07,Customer7,Router,2,3000,6000,1080,7080
INV008,2026-02-08,Customer8,SSD,4,4000,16000,2880,18880
INV009,2026-02-09,Customer9,RAM,2,3500,7000,1260,8260
INV010,2026-02-10,Customer10,Chair,1,7000,7000,1260,8260
