InvoiceID,InvoiceDate,CustomerName,Item,Quantity,UnitPrice,TotalAmount,GST,GrandTotal
INV00001,2026-02-02,Customer1,Product13,3,43977,131931,23747.58,155678.58000000002
INV00002,2026-02-03,Customer2,Product12,5,36605,183025,32944.5,215969.5
INV00003,2026-02-04,Customer3,Product2,2,33989,67978,12236.04,80214.04000000001
INV00004,2026-02-05,Customer4,Product17,4,869,3476,625.68,4101.68
INV00005,2026-02-06,Customer5,Product4,1,29300,29300,5274.0,34574.0
INV00006,2026-02-07,Customer6,Product4,4,27063,108252,19485.36,127737.36
INV00007,2026-02-08,Customer7,Product3,1,6585,6585,1185.3,7770.3
INV00008,2026-02-09,Customer8,Product7,1,24701,24701,4446.18,29147.18
INV00009,2026-02-10,Customer9,Product1,4,7044,28176,5071.68,33247.68
INV00010,2026-02-11,Customer10,Product2,3,25724,77172,13890.96,91062.95999999999
INV00011,2026-02-12,Customer11,Product6,1,29479,29479,5306.22,34785.22
INV00012,2026-02-13,Customer12,Product14,2,41353,82706,14887.08,97593.08
INV00013,2026-02-14,Customer13,Product16,3,48565,145695,26225.1,171920.1
INV00014,2026-02-15,Customer14,Product5,4,42182,168728,30371.04,199099.04
INV00015,2026-02-16,Customer15,Product10,2,16856,33712,6068.16,39780.16
INV00016,2026-02-17,Customer16,Product9,2,29855,59710,10747.8,70457.8
INV00017,2026-02-18,Customer17,Product20,4,18960,75840,13651.2,89491.2
INV00018,2026-02-19,Customer18,Product15,1,38882,38882,6998.76,45880.76
INV00019,2026-02-20,Customer19,Product14,5,10554,52770,9498.6,62268.6
INV00020,2026-02-21,Customer20,Product17,2,27794,55588,10005.84,65593.84
INV00021,2026-02-22,Customer21,Product16,4,25721,102884,18519.12,121403.12
INV00022,2026-02-23,Customer22,Product8,5,27021,135105,24318.9,159423.9
INV00023,2026-02-24,Customer23,Product13,3,7164,21492,3868.56,25360.56
INV00024,2026-02-25,Customer24,Product6,2,19571,39142,7045.56,46187.56
INV00025,2026-02-26,Customer25,Product20,5,1367,6835,1230.3,8065.3
INV00026,2026-02-27,Customer26,Product19,4,23414,93656,16858.08,110514.08
INV00027,2026-02-28,Customer27,Product13,4,44075,176300,31734.0,208034.0
INV00028,2026-02-01,Customer28,Product17,2,36060,72120,12981.6,85101.6
INV00029,2026-02-02,Customer29,Product7,4,13124,52496,9449.28,61945.28
INV00030,2026-02-03,Customer30,Product18,5,44816,224080,40334.4,264414.4
INV00031,2026-02-04,Customer31,Product7,3,4009,12027,2164.86,14191.86
INV00032,2026-02-05,Customer32,Product13,2,44694,89388,16089.84,105477.84
INV00033,2026-02-06,Customer33,Product4,2,7800,15600,2808.0,18408.0
INV00034,2026-02-07,Customer34,Product20,2,7958,15916,2864.88,18780.88
INV00035,2026-02-08,Customer35,Product12,5,24372,121860,21934.8,143794.8
INV00036,2026-02-09,Customer36,Product16,3,31306,93918,16905.24,110823.24
INV00037,2026-02-10,Customer37,Product3,4,34713,138852,24993.36,163845.36
INV00038,2026-02-11,Customer38,Product19,1,42073,42073,7573.14,49646.14
INV00039,2026-02-12,Customer39,Product6,4,6703,26812,4826.16,31638.16
INV00040,2026-02-13,Customer40,Product3,1,39304,39304,7074.72,46378.72
INV00041,2026-02-14,Customer41,Product3,1,4651,4651,837.18,5488.18
INV00042,2026-02-15,Customer42,Product12,3,44194,132582,23864.76,156446.76
INV00043,2026-02-16,Customer43,Product20,3,26507,79521,14313.78,93834.78
INV00044,2026-02-17,Customer44,Product1,4,43145,172580,31064.4,203644.4
INV00045,2026-02-18,Customer45,Product16,2,30723,61446,11060.28,72506.28
INV00046,2026-02-19,Customer46,Product5,4,13698,54792,9862.56,64654.56
INV00047,2026-02-20,Customer47,Product3,5,45689,228445,41120.1,269565.1
INV00048,2026-02-21,Customer48,Product10,4,32201,128804,23184.72,151988.72
INV00049,2026-02-22,Customer49,Product15,1,19381,19381,3488.58,22869.58
INV00050,2026-02-23,Customer50,Product1,2,28293,56586,10185.48,66771.48
INV00051,2026-02-24,Customer51,Product17,4,39325,157300,28314.0,185614.0
INV00052,2026-02-25,Customer52,Product18,2,45163,90326,16258.68,106584.68
INV00053,2026-02-26,Customer53,Product12,1,6031,6031,1085.58,7116.58
